Page	Functionality	Description	Implemented in dataverse-frontend	Implementation evidence	Implementation notes
Contact Form	Enter Message Body	Types in the free-text message body to send to the dataset/collection contact or support, required.	Yes	src/sections/shared/contact/ContactButton.tsx; src/sections/shared/contact/contact-modal/ContactModal.tsx; src/contact/domain/useCases/sendFeedbacktoOwners.ts	Implemented in the React SPA.
Contact Form	Solve Math CAPTCHA	Answers a simple addition sum as a spam-prevention check before the message can be sent.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Contact modal has form submission, but no math CAPTCHA implementation was found.
Contact Form	Send Message	Submits the contact form, validating all fields and the CAPTCHA, then emails the message to the recipient.	Yes	src/sections/shared/contact/ContactButton.tsx; src/sections/shared/contact/contact-modal/ContactModal.tsx; src/contact/domain/useCases/sendFeedbacktoOwners.ts	Implemented in the React SPA.
Contact Form	Cancel Contact Dialog	Closes the contact form dialog without sending a message.	Yes	src/sections/shared/contact/ContactButton.tsx; src/sections/shared/contact/contact-modal/ContactModal.tsx; src/contact/domain/useCases/sendFeedbacktoOwners.ts	Implemented in the React SPA.
Contact Form	View Recipient/CC Info	"Displays the read-only ""To"" (and ""CC"" to support, when configured) recipient fields for the message."	Yes	src/sections/shared/contact/ContactButton.tsx; src/sections/shared/contact/contact-modal/ContactModal.tsx; src/contact/domain/useCases/sendFeedbacktoOwners.ts	Implemented in the React SPA.
Contact Form	View Logged-In Sender Email	Displays the auto-filled, read-only sender email address for users who are already logged in.	Yes	src/sections/shared/contact/ContactButton.tsx; src/sections/shared/contact/contact-modal/ContactModal.tsx; src/contact/domain/useCases/sendFeedbacktoOwners.ts	Implemented in the React SPA.
File Page	Download File Citation	Download the file's citation in EndNote XML, RIS, or BibTeX format.	Yes	src/sections/shared/citation; src/sections/dataset/dataset-citation/DatasetCitation.tsx; src/dataset/domain/useCases/getDatasetCitationInOtherFormats.ts; src/sections/file/file-citation/FileCitation.tsx	Implemented in the React SPA.
File Page	Download Dataset Citation	Download the citation for the file's parent dataset in EndNote XML, RIS, or BibTeX format.	Yes	src/sections/shared/citation; src/sections/dataset/dataset-citation/DatasetCitation.tsx; src/dataset/domain/useCases/getDatasetCitationInOtherFormats.ts; src/sections/file/file-citation/FileCitation.tsx	Implemented in the React SPA.
File Page	Switch Tabs	Switch between the file's Data Access, Preview, Metadata, and Versions tabs.	Yes	src/sections/file/File.tsx; src/sections/file/FileFactory.tsx	Implemented in the React SPA.
File Page	Select Preview/External Tool	Choose which configured external tool to use to preview or explore the file when more than one is available.	Yes	src/sections/dataset/dataset-action-buttons/DatasetToolsOptions.tsx; src/sections/file/file-action-buttons/access-file-menu/FileToolOptions.tsx; src/externalTools/domain/useCases; src/sections/file/file-embedded-external-tool/FileEmbeddedExternalTool.tsx	Implemented in the React SPA.
File Page	Explore/Open with Tool	Launch the selected external preview or explore tool on the file, shown embedded or opened in a new window.	Yes	src/sections/dataset/dataset-action-buttons/DatasetToolsOptions.tsx; src/sections/file/file-action-buttons/access-file-menu/FileToolOptions.tsx; src/externalTools/domain/useCases; src/sections/file/file-embedded-external-tool/FileEmbeddedExternalTool.tsx	Implemented in the React SPA.
File Page	Add/Edit File Metadata	Navigate to the edit page to add or update this file's metadata.	Yes	src/sections/edit-file-metadata/EditFileMetadata.tsx; src/sections/replace-file/ReplaceFile.tsx; src/files/domain/useCases/editFileMetadata.ts; src/files/domain/useCases/replaceFile.ts; src/files/domain/useCases/restrictFile.ts	Implemented in the React SPA.
File Page	Export File Metadata	Download the file's metadata in an available export format such as DDI or schema.org.	Partial	src/sections/file/File.tsx; src/sections/file/FileFactory.tsx	File metadata/download URLs are displayed; an export dropdown was not found.
File Page	Copy Checksum/UNF Value	Copy the file's checksum or UNF (Universal Numeric Fingerprint) value to the clipboard.	Yes	src/sections/file/File.tsx; src/sections/file/FileFactory.tsx	Implemented in the React SPA.
File Page	Contact Dataset Owner	Open a form to send a message or question to the dataset's contact.	Yes	src/sections/shared/contact/ContactButton.tsx; src/sections/shared/contact/contact-modal/ContactModal.tsx; src/contact/domain/useCases/sendFeedbacktoOwners.ts	Implemented in the React SPA.
File Page	Share File	Open a dialog with links/widgets for sharing the file on social media or via URL.	Yes	src/sections/file/share-file-button/ShareFileButton.tsx; src/sections/shared/social-share-modal/SocialShareModal.tsx	Implemented in the React SPA.
File Page	Request Access (Sign Up/Log In Prompt)	Prompt an unauthenticated user to sign up or log in before requesting access to a restricted file.	Yes	src/sections/file/file-action-buttons/access-file-menu; src/files/domain/useCases/getMultipleFileDownloadUrl.ts	Implemented in the React SPA.
File Page	Compute Access Denied Notice	Inform a user without download permission that they cannot use the Compute feature on this file.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Compute workflow not found.
File Page	Blocked Edit on Deleted File	Show a warning dialog when a user tries to edit a file that was already deleted in a later, unpublished version.	Yes	src/sections/file/File.tsx; src/sections/file/FileFactory.tsx	Implemented in the React SPA.
File Data Access Tab	View Rsync Access Instructions	Display the local storage path plus rsync download and verify commands for accessing a package file.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No rsync data access tab/instructions implementation found in SPA file page.
File Access & Download	Download File (Format Options)	Download the file in its original, tab-delimited, RData, or variable-metadata format, depending on file type.	Yes	src/sections/file/file-action-buttons/access-file-menu; src/files/domain/useCases/getMultipleFileDownloadUrl.ts; src/sections/dataset/dataset-action-buttons/DatasetToolsOptions.tsx; src/sections/file/file-action-buttons/access-file-menu/FileToolOptions.tsx; src/externalTools/domain/useCases	Implemented in the React SPA.
File Access & Download	Globus Transfer	Initiate a Globus file transfer download of the file to a remote endpoint.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No Globus/package/auxiliary/compute file workflow found in SPA.
File Access & Download	Download Package (Multi-file Bundle)	Open a popup with instructions and a direct link for downloading a multi-file package/bundle.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No Globus/package/auxiliary/compute file workflow found in SPA.
File Access & Download	Download Auxiliary File	Download an auxiliary file (e.g., a differential-privacy companion file) associated with the data file.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No Globus/package/auxiliary/compute file workflow found in SPA.
File Access & Download	Explore with Tool	"Launch a configured ""explore"" external tool (e.g., a visualization tool) on the file from the access dropdown."	Yes	src/sections/file/file-action-buttons/access-file-menu; src/files/domain/useCases/getMultipleFileDownloadUrl.ts; src/sections/dataset/dataset-action-buttons/DatasetToolsOptions.tsx; src/sections/file/file-action-buttons/access-file-menu/FileToolOptions.tsx; src/externalTools/domain/useCases	Implemented in the React SPA.
File Access & Download	Query with Tool	"Launch a configured ""query"" external tool on the file from the access dropdown."	Yes	src/sections/file/file-action-buttons/access-file-menu; src/files/domain/useCases/getMultipleFileDownloadUrl.ts; src/sections/dataset/dataset-action-buttons/DatasetToolsOptions.tsx; src/sections/file/file-action-buttons/access-file-menu/FileToolOptions.tsx; src/externalTools/domain/useCases	Implemented in the React SPA.
File Access & Download	Compute on File	Open a cloud computing environment pre-configured to access the file.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No Globus/package/auxiliary/compute file workflow found in SPA.
File Access & Download	Request Access to File	Request permission to download a restricted file directly from the access/download dropdown.	Yes	src/sections/file/file-action-buttons/access-file-menu; src/files/domain/useCases/getMultipleFileDownloadUrl.ts; src/sections/dataset/dataset-action-buttons/DatasetToolsOptions.tsx; src/sections/file/file-action-buttons/access-file-menu/FileToolOptions.tsx; src/externalTools/domain/useCases	Implemented in the React SPA.
File Edit Options	Restrict File	Mark the file as restricted so users must request access or agree to terms before downloading.	Yes	src/sections/edit-file-metadata/EditFileMetadata.tsx; src/sections/replace-file/ReplaceFile.tsx; src/files/domain/useCases/editFileMetadata.ts; src/files/domain/useCases/replaceFile.ts; src/files/domain/useCases/restrictFile.ts; src/sections/dataset/dataset-action-buttons/DatasetToolsOptions.tsx; src/sections/file/file-action-buttons/access-file-menu/FileToolOptions.tsx; src/externalTools/domain/useCases	Implemented in the React SPA.
File Edit Options	Unrestrict File	Remove restricted access from a file, making it openly downloadable.	Yes	src/sections/edit-file-metadata/EditFileMetadata.tsx; src/sections/replace-file/ReplaceFile.tsx; src/files/domain/useCases/editFileMetadata.ts; src/files/domain/useCases/replaceFile.ts; src/files/domain/useCases/restrictFile.ts; src/sections/dataset/dataset-action-buttons/DatasetToolsOptions.tsx; src/sections/file/file-action-buttons/access-file-menu/FileToolOptions.tsx; src/externalTools/domain/useCases	Implemented in the React SPA.
File Edit Options	Replace File	Upload a new version of the file's content that replaces the current one, keeping its metadata.	Yes	src/sections/edit-file-metadata/EditFileMetadata.tsx; src/sections/replace-file/ReplaceFile.tsx; src/files/domain/useCases/editFileMetadata.ts; src/files/domain/useCases/replaceFile.ts; src/files/domain/useCases/restrictFile.ts; src/sections/dataset/dataset-action-buttons/DatasetToolsOptions.tsx; src/sections/file/file-action-buttons/access-file-menu/FileToolOptions.tsx; src/externalTools/domain/useCases	Implemented in the React SPA.
File Edit Options	Uningest File	Revert a previously ingested tabular file back to its original, unprocessed format.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	File un/ingest, retention, and similar JSF options were not found.
File Edit Options	Ingest File	Trigger tabular data ingest/processing for a file that has not yet been ingested (superuser action).	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	File un/ingest, retention, and similar JSF options were not found.
File Edit Options	Edit Tags	Open a dialog to add, remove, or create file category tags and, for tabular files, data type tags.	Yes	src/sections/edit-file-metadata/EditFileMetadata.tsx; src/sections/replace-file/ReplaceFile.tsx; src/files/domain/useCases/editFileMetadata.ts; src/files/domain/useCases/replaceFile.ts; src/files/domain/useCases/restrictFile.ts; src/sections/dataset/dataset-action-buttons/DatasetToolsOptions.tsx; src/sections/file/file-action-buttons/access-file-menu/FileToolOptions.tsx; src/externalTools/domain/useCases	Implemented in the React SPA.
File Edit Options	Set/Remove Embargo	Set, edit, or remove a future release (embargo) date and reason for one or more files.	Partial	src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons	Embargo appears as a header bulk option gated by setting, but it opens the not-implemented modal.
File Edit Options	Set/Remove Retention Period	Set, edit, or remove a data-retention end date and reason for one or more files.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	File un/ingest, retention, and similar JSF options were not found.
File Edit Options	Delete File	Permanently remove the file from the dataset after confirming a warning dialog.	Yes	src/sections/edit-file-metadata/EditFileMetadata.tsx; src/sections/replace-file/ReplaceFile.tsx; src/files/domain/useCases/editFileMetadata.ts; src/files/domain/useCases/replaceFile.ts; src/files/domain/useCases/restrictFile.ts; src/sections/dataset/dataset-action-buttons/DatasetToolsOptions.tsx; src/sections/file/file-action-buttons/access-file-menu/FileToolOptions.tsx; src/externalTools/domain/useCases	Implemented in the React SPA.
File Edit Options	Configure External Tool	"Launch a ""configure"" type external tool integration for the file after an informational confirmation."	Yes	src/sections/edit-file-metadata/EditFileMetadata.tsx; src/sections/replace-file/ReplaceFile.tsx; src/files/domain/useCases/editFileMetadata.ts; src/files/domain/useCases/replaceFile.ts; src/files/domain/useCases/restrictFile.ts; src/sections/dataset/dataset-action-buttons/DatasetToolsOptions.tsx; src/sections/file/file-action-buttons/access-file-menu/FileToolOptions.tsx; src/externalTools/domain/useCases	Implemented in the React SPA.
File Provenance	View Provenance Graph	Display an interactive graph visualizing the file's provenance lineage (entities, activities, agents).	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
File Provenance	Toggle Ancestors/Successors	Show or hide ancestor or successor nodes in the provenance lineage graph.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
File Provenance	Upload Provenance JSON	Upload a PROV-JSON file describing the file's provenance via drag-and-drop or file picker.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
File Provenance	Preview Provenance JSON	Open the uploaded provenance JSON file in a new browser window/tab for review.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
File Provenance	Remove Provenance JSON	Delete the uploaded (not-yet-saved) provenance JSON and related data.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
File Provenance	Select Provenance Entity	Choose which entity in the uploaded PROV-JSON file corresponds to this data file.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
File Provenance	Add Provenance Description	Enter or edit a free-text description of the file's provenance.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
File Provenance	Save Provenance Changes	Confirm and save provenance JSON and/or free-text description updates to the file.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Admin/JSF-era feature not implemented in dataverse-frontend.
File Versions	View File Version History	List all dataset versions and summarize what changed for this specific file in each version.	Yes	src/sections/file/file-version; src/files/domain/useCases/getFileVersionSummaries.ts	Implemented in the React SPA.
Package Download Popup	View Package Info	Display a package file's metadata and direct API download URL before closing the popup.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	No package download popup implementation found in SPA.
Edit Files (Upload)	Upload Files via HTTP	Add one or more files to the dataset by selecting or drag-and-dropping them into the browser upload widget.	Yes	src/sections/upload-dataset-files; src/sections/shared/file-uploader; src/files/domain/useCases/addUploadedFiles.ts	Implemented in the React SPA.
Edit Files (Upload)	Download Rsync Upload Script	Download a script used to transfer large files into the dataset via rsync from the command line.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Only HTTP/S3-backed upload flow was found; alternate upload/advanced ingest workflows were not found.
Edit Files (Upload)	Upload Files via Dropbox	Choose files from a linked Dropbox account to add to the dataset.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Only HTTP/S3-backed upload flow was found; alternate upload/advanced ingest workflows were not found.
Edit Files (Upload)	Upload Files via Globus	Open the Globus app in a new tab to transfer files into the dataset from a remote endpoint.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Only HTTP/S3-backed upload flow was found; alternate upload/advanced ingest workflows were not found.
Edit Files (Upload)	Upload Files via Webloader	Open the web-based bulk uploader tool in a new tab to add files to the dataset.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Only HTTP/S3-backed upload flow was found; alternate upload/advanced ingest workflows were not found.
Edit Files (Upload)	Contact Support (Upload Conflict)	Send a message to the support team when an existing rsync package blocks HTTP upload, or vice versa.	Yes	src/sections/upload-dataset-files; src/sections/shared/file-uploader; src/files/domain/useCases/addUploadedFiles.ts	Implemented in the React SPA.
Edit Files (Upload)	Edit File Name/Folder Path/Description	Edit an uploaded file's display name, folder (directory) path, and description before saving.	Yes	src/sections/upload-dataset-files; src/sections/shared/file-uploader; src/files/domain/useCases/addUploadedFiles.ts	Implemented in the React SPA.
Edit Files (Upload)	Select Files for Bulk Action	Select one or more files in the upload table to enable bulk edit, restrict, or delete actions.	Yes	src/sections/upload-dataset-files; src/sections/shared/file-uploader; src/files/domain/useCases/addUploadedFiles.ts	Implemented in the React SPA.
Edit Files (Upload)	Bulk Delete Selected Files	Remove multiple selected files from the pending upload/edit set before saving.	Yes	src/sections/upload-dataset-files; src/sections/shared/file-uploader; src/files/domain/useCases/addUploadedFiles.ts	Implemented in the React SPA.
Edit Files (Upload)	Bulk Restrict/Unrestrict Files	Restrict or unrestrict multiple selected files at once from the edit-files table toolbar.	Yes	src/sections/upload-dataset-files; src/sections/shared/file-uploader; src/files/domain/useCases/addUploadedFiles.ts	Implemented in the React SPA.
Edit Files (Upload)	Save Changes	Persist all pending file additions, edits, restrictions, and deletions to the dataset.	Yes	src/sections/upload-dataset-files; src/sections/shared/file-uploader; src/files/domain/useCases/addUploadedFiles.ts	Implemented in the React SPA.
Edit Files (Upload)	Cancel/Done	Discard unsaved changes, or finish, and return to the dataset page.	Yes	src/sections/upload-dataset-files; src/sections/shared/file-uploader; src/files/domain/useCases/addUploadedFiles.ts	Implemented in the React SPA.
Edit Files (Upload)	Set as Dataset Thumbnail	Designate an uploaded image file as the dataset's thumbnail image, replacing any existing logo.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Set-as-thumbnail upload action not found.
Edit Files (Upload)	Advanced Ingest Options (Encoding)	Choose a text character encoding for an SPSS-SAV file before it is ingested as tabular data.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Only HTTP/S3-backed upload flow was found; alternate upload/advanced ingest workflows were not found.
Edit Files (Upload)	Upload SPSS-POR Extra Labels File	Upload a supplementary variable-labels file to accompany an SPSS-POR file during ingest.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Only HTTP/S3-backed upload flow was found; alternate upload/advanced ingest workflows were not found.
Edit Files (Upload)	Resolve Duplicate/Type-Mismatch Upload	Delete a newly uploaded file that duplicates or conflicts in type with an existing dataset file.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Only HTTP/S3-backed upload flow was found; alternate upload/advanced ingest workflows were not found.
Dataset Files Tab	Toggle Table/Tree View	Switch the file listing between a flat table view and a folder tree view.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Tree view toggle was not found; files are shown in table/list UI.
Dataset Files Tab	Search Files	Filter the dataset's file list by filename.	Yes	src/sections/dataset/dataset-files; src/files/domain/useCases/getFilesByDatasetPersistentIdWithCount.ts	Implemented in the React SPA.
Dataset Files Tab	Filter Files by Facet	Narrow the file list using file type, access status, or tag facets.	Yes	src/sections/dataset/dataset-files; src/files/domain/useCases/getFilesByDatasetPersistentIdWithCount.ts	Implemented in the React SPA.
Dataset Files Tab	Sort Files	Sort the file list by name, date, size, or type, or pre-sort by folder/tag.	Yes	src/sections/dataset/dataset-files; src/files/domain/useCases/getFilesByDatasetPersistentIdWithCount.ts	Implemented in the React SPA.
Dataset Files Tab	Select All / Clear Selection	Select every file in the current results or clear the current file selection.	Yes	src/sections/dataset/dataset-files; src/files/domain/useCases/getFilesByDatasetPersistentIdWithCount.ts	Implemented in the React SPA.
Dataset Files Tab	Batch Download Files	Download all selected files together as a zip, in original or archival (tab-delimited) format.	Yes	src/sections/dataset/dataset-files; src/files/domain/useCases/getFilesByDatasetPersistentIdWithCount.ts	Implemented in the React SPA.
Dataset Files Tab	Batch Globus Transfer	Start a Globus transfer for all currently selected files.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Batch Globus transfer not found.
Dataset Files Tab	Batch Request Access	Request access to all selected restricted files in one action.	Partial	src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons	Request access exists per file; clear batch request-access action was not found.
Dataset Files Tab	Upload Files Link	Navigate to the Edit Files page to upload new files into this dataset.	Yes	src/sections/dataset/dataset-files; src/files/domain/useCases/getFilesByDatasetPersistentIdWithCount.ts	Implemented in the React SPA.
Dataset Files Tab	Copy Cloud Storage Container Name	Copy the cloud (e.g., Swift/S3) container identifier to the clipboard for cloud-compute access.	Yes	src/sections/dataset/dataset-files; src/files/domain/useCases/getFilesByDatasetPersistentIdWithCount.ts	Implemented in the React SPA.
Manage Guestbooks	Include Guestbooks from Parent Dataverse	Checking this box makes the collection inherit and use the guestbooks defined by its parent collection instead of having its own.	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Manage Guestbooks	Create Guestbook	Opens a blank guestbook form to define questions users must answer before downloading files.	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Manage Guestbooks	Download All Guestbook Responses	Downloads a CSV file containing every guestbook response recorded across all guestbooks in this collection.	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Manage Guestbooks	Enable Guestbook	Activates a guestbook so it is shown to users when they download files from this collection.	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Manage Guestbooks	Disable Guestbook	Deactivates a guestbook so it is no longer shown to users during file downloads.	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Manage Guestbooks	Preview Guestbook	Opens a read-only dialog showing the fields and custom questions defined in a guestbook.	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Manage Guestbooks	Copy Guestbook	Opens the guestbook form pre-filled with a duplicate of an existing guestbook so it can be saved as a new one.	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Manage Guestbooks	Edit Guestbook	Opens the selected guestbook in edit mode to change its name, required fields, or custom questions.	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Manage Guestbooks	Download Guestbook Responses	Downloads a CSV file of all responses collected for one specific guestbook.	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Manage Guestbooks	Delete Guestbook	Opens a confirmation dialog to permanently remove a guestbook that is no longer used.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Delete guestbook button opens the not-implemented modal; comment notes backend endpoint is pending.
Manage Guestbooks	Confirm Delete Guestbook	Permanently deletes the selected guestbook after the user confirms in the warning dialog.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Delete guestbook button opens the not-implemented modal; comment notes backend endpoint is pending.
Manage Guestbooks	Cancel Delete Guestbook	Closes the delete confirmation dialog without deleting the guestbook.	No	No SPA route/component/use-case found in src/router/routes.tsx or src/sections for this JSF feature	Delete guestbook button opens the not-implemented modal; comment notes backend endpoint is pending.
Manage Guestbooks	View Collected Data	Navigates to the responses page listing everyone who filled out this specific guestbook.	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Guestbook Preview Dialog	Edit Guestbook from Preview	From the read-only preview dialog, opens the guestbook in edit mode to change its fields and questions.	Partial	src/sections/guestbooks; src/guestbooks/domain/useCases	Preview modal exists; direct edit-from-preview control was not clearly found.
Guestbook Preview Dialog	Close Preview Dialog	Closes the guestbook preview dialog without making changes.	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Guestbook (Create/Edit)	Create Guestbook	Saves a new guestbook's name, required fields, and custom questions so it can be used by the collection.	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Guestbook (Create/Edit)	Save Guestbook Changes	Saves edits made to an existing guestbook's name, required fields, or custom questions.	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Guestbook (Create/Edit)	Cancel Guestbook Edit	Discards changes and returns to the Manage Guestbooks list without saving.	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Guestbook (Create/Edit)	Select Required Respondent Fields	Choose which standard fields (name, email, institution, position) a user must fill in before downloading.	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Guestbook (Create/Edit)	Change Custom Question Type	Switches a custom question between free text, text area, or multiple-choice answer formats.	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Guestbook (Create/Edit)	Add Custom Question	Adds another custom question for downloaders to answer at the chosen position in the list.	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Guestbook (Create/Edit)	Remove Custom Question	Deletes one of the guestbook's custom questions (only available when more than one exists).	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Guestbook (Create/Edit)	Mark Custom Question as Required	Flags a custom question so users must answer it before their download can proceed.	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Guestbook (Create/Edit)	Add Answer Option	Adds another selectable answer choice to a multiple-choice custom question.	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Guestbook (Create/Edit)	Remove Answer Option	Deletes a selectable answer choice from a multiple-choice question (only available when more than one exists).	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Guestbook Terms & Download Dialog	Fill in Guestbook Information	Enter name, email, institution, position, and answers to any custom questions required before downloading.	Yes	src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Guestbook Terms & Download Dialog	Accept Terms and Download	Confirms the guestbook entry and license/terms of use, then starts downloading the requested file.	Yes	src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Guestbook Terms & Download Dialog	Accept Terms and Start Globus Transfer	Confirms the guestbook entry and terms, then begins transferring the requested files via Globus.	Partial	src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons	Guestbook/terms modal exists for downloads/request access; this destination-specific action was not clearly found.
Guestbook Terms & Download Dialog	Accept Terms and Preview File	Confirms the guestbook entry from the file preview tab and displays a preview of the file's contents.	Partial	src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons	Guestbook/terms modal exists for downloads/request access; this destination-specific action was not clearly found.
Guestbook Terms & Download Dialog	Accept Terms and Launch External Tool	Confirms the guestbook entry and terms, then opens the file in the selected external analysis tool.	Partial	src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons	Guestbook/terms modal exists for downloads/request access; this destination-specific action was not clearly found.
Guestbook Terms & Download Dialog	Accept Terms and Download Package	Confirms the guestbook entry and terms, then proceeds to download a compressed file package.	Partial	src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons	Guestbook/terms modal exists for downloads/request access; this destination-specific action was not clearly found.
Guestbook Terms & Download Dialog	Cancel Download	Closes the guestbook/terms dialog without downloading the file.	Yes	src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Guestbook Terms & Download Dialog	Request Access	Submits a request for access to a restricted file, including any required guestbook information.	Yes	src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Guestbook Terms & Download Dialog	Cancel Request Access	Closes the request-access dialog without submitting a request.	Yes	src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons; src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Guestbook Responses	Download Guestbook Responses (CSV)	Downloads a CSV file of all recorded responses for the guestbook currently being viewed.	Yes	src/sections/guestbooks; src/guestbooks/domain/useCases	Implemented in the React SPA.
Guestbook Responses	Sort Responses Table	Click a column header to sort the list of guestbook responses by dataset, date, type, file, or user.	Partial	src/sections/guestbooks; src/guestbooks/domain/useCases	Responses page exists; sortable response table was not clearly found.
Guestbook Response Form	Enter Guestbook Information	Fill in name, email, institution, position, and custom question answers requested by a dataset's guestbook.	Yes	src/sections/dataset/dataset-files/files-table/file-actions; src/sections/file/file-action-buttons	Implemented in the React SPA.
Manage Templates	Include Templates from Parent Dataverse	Checking this box makes the collection use the metadata templates defined by its parent instead of its own.	Yes	src/sections/templates; src/templates/domain/useCases	Implemented in the React SPA.
Manage Templates	Create Metadata Template	Opens a blank template form for defining default metadata and terms to speed up dataset creation.	Yes	src/sections/templates; src/templates/domain/useCases	Implemented in the React SPA.
